,word,freq,embed_pca_x,embed_pca_y,embed_tsne_x,embed_tsne_y
1335,M467,1,0.05781863516388746,0.3234787752288933,-13.131245613098145,1.0129001140594482
1357,M165,1,0.15646051804050246,0.27640004538883356,-12.305770874023438,0.5114768147468567
1366,M448,1,0.13647876086680694,0.5202143470785147,-25.392871856689453,4.832161903381348
1382,M489,2,0.2978760419577332,-0.31980227492074426,19.696495056152344,6.127796173095703
1387,M293,1,0.5018528671871569,0.3439188824680297,-19.783641815185547,15.4356107711792
1416,M155,1,0.1888310878567423,0.2156381221959051,-3.648301839828491,-2.394423246383667
1426,M500,1,0.3019362141466957,0.10976192876512676,14.969195365905762,19.496315002441406
1450,M486,1,0.4622177058776059,0.022668557264584985,7.294701099395752,16.70777130126953
1458,M469,1,0.15145394550362828,1.1424148903274463,-31.497495651245117,-11.836060523986816
1471,M410,1,0.6094134094164189,-0.019892993121837503,6.575871467590332,29.94591522216797
1473,M151,1,0.3231411734948131,0.01038609498082824,13.535296440124512,6.347962856292725
1477,M324,2,-0.0007669858811533204,-0.22419146022760925,22.927595138549805,5.114599704742432
1503,M088,2,0.3416158937002108,0.42700336664167504,-32.547183990478516,10.38174057006836
1528,M412,1,0.43406882093517535,0.10144942624972232,-1.1610660552978516,24.806957244873047
1557,M351,2,0.283566851420272,-0.029330791548164505,7.7689948081970215,19.15972900390625
1559,M465,1,0.3050317322601958,0.07857320881199657,9.765265464782715,17.304718017578125
1561,M077,1,0.5340466411970258,0.027935704457682623,9.383131980895996,26.636688232421875
1575,M445,1,0.044369796638623026,0.3408165025909387,-17.0648193359375,7.3451056480407715
1583,M385,2,0.005705654420318001,0.488175662006216,-25.28839111328125,-0.16131874918937683
1588,M283,1,-0.2732892245073713,0.6692841723742785,-15.823765754699707,-23.357139587402344
1592,M454,1,0.07461134268568986,0.1459802442711362,-5.307458400726318,-5.762421131134033
1600,M450,1,0.184024461616154,-0.0621883106831998,0.07911254465579987,-3.8603577613830566
1611,M441,1,-0.22031120144694954,0.9132589306952448,-21.38825225830078,-9.636161804199219
1629,M087,1,0.4419321249167431,0.2758253574569557,-4.43107271194458,23.86456298828125
1634,M506,1,0.3966713593588539,0.42702452436808513,-16.500511169433594,22.2733154296875
1645,M495,1,0.3282725887079746,0.5544556008001497,-22.454734802246094,2.810521364212036
1646,M496,1,0.49114066169846227,0.21204934639936038,-9.684773445129395,28.4880428314209
1656,M254,1,0.683554828366127,0.30855032543595834,-22.296571731567383,21.111249923706055
1662,M173,1,0.4282017001052191,0.41047059338233144,-11.12453556060791,17.901023864746094
1664,M466,1,0.5968660841918508,0.25277413061364,-9.620265007019043,28.515222549438477
1668,M431,1,0.5334804800436637,0.20576848584935714,-16.95615005493164,16.529682159423828
1669,M491,1,0.7354010038772977,0.2541063788611868,-6.1851115226745605,26.24129295349121
1671,M505,1,0.5683309323367883,0.4578968705285054,-15.800642013549805,20.906354904174805
1680,M021,1,0.4521315052405952,0.5692801204798431,-14.711050033569336,11.221899032592773
